x,ear
1,0.16248249131415687
2,0.19943986197769126
3,0.1096838169472976
4,0.1131370849898476
5,0.19073141345195263
6,0.17423024757175568
7,0.19110994086122907
8,0.18601633295108116
9,0.15273519886866618
10,0.15238704432684588
11,0.2573367816567674
12,0.18077538151554684
13,0.16405858057551156
