x,a,b
1,0.3135536006159131,0.2947389787178889
2,0.31409377141878475,0.3091545143350104
3,0.2851048126708473,0.2912726811243532
4,0.3076234302065557,0.277015905242733
5,0.29546697988813414,0.2872442062881789
6,0.30687798204896655,0.2969685799962846
7,0.3102031422366536,0.30083247323696766
8,0.3250435498991523,0.29061078254758976
9,0.27389746963244643,0.2721230632000828
10,0.30285583663029864,0.28258126570687275
11,0.22382822193521412,0.20462107289179599
12,0.14979082626602122,0.12858331689620492
13,0.15149192498600608,0.1263968125792328
14,0.1831368583158503,0.159251287211407
15,0.21748362345076153,0.18076691547309798
16,0.2614173448859687,0.23915068995774422
17,0.25290950030869785,0.21805876258345547
18,0.24337150238498764,0.22139898107678016
19,0.24444349893110773,0.22193046354047907
20,0.23201449871802235,0.20821923960651612
21,0.2780969341312973,0.2586436174025244
22,0.25360714899770376,0.24116653382567413
23,0.3683184533543813,0.34164366918768024
24,0.2780888345555973,0.2586000174021235
25,0.25446649893166673,0.25123041204047907
