x,a,b
1,0.19558470983008902,0.19782922088215152
2,0.20729433634876937,0.21788159849969368
3,0.20190745559881076,0.21464522214309384
4,0.22819713418605972,0.22659490680044908
5,0.2452950204560067,0.23082832973957013
6,0.23476844133864724,0.22251182149518703
7,0.2107544877811646,0.20403851227141537
8,0.23339284399750806,0.233881999152578
9,0.2237462519432479,0.22614843477784757
10,0.22861519388864218,0.2290214130761888
11,0.21752250749468743,0.21315638851867835
12,0.21947997313129053,0.22448315674427072
13,0.2184863533413335,0.2174893729012292
14,0.2186497246020823,0.21587251804160387
15,0.22579715572732806,0.22695486061222517
16,0.22748443268994858,0.23439388787966225
17,0.16670775165000334,0.1888639217331003
18,0.21870579135595244,0.225636491542653
19,0.1996349038942479,0.2259292113500991
20,0.2022798016223012,0.2288087129531216
21,0.21858042047906925,0.24554098831124152
22,0.22252121016301774,0.2629949336100707
23,0.22020724958099497,0.25248034768871613
24,0.23656211796139842,0.24634078586094207
25,0.22111871049227586,0.23705228623040098
