x,a,b
1,0.2792257879534978,0.2582787028798831
2,0.25761278823725303,0.253858031423127
3,0.22993582453507178,0.23283843506061003
4,0.24731700102065435,0.25215152929405277
5,0.2121933453370636,0.21822008795696843
6,0.23038110473402518,0.22482255899077358
7,0.24429645884381082,0.23334925333936293
8,0.20220494567170602,0.21347176960153014
9,0.2186375661116347,0.22850130419284784
10,0.2201852984463601,0.2263846281862109
11,0.22015774351584266,0.22091248179957307
12,0.21938838333937588,0.22330600686168042
13,0.1582715177254084,0.16084391587894076
14,0.15720753961091777,0.14583303245054072
15,0.1914302778736592,0.17465130780262103
16,0.23903639034302124,0.22916976404554726
17,0.22063432892484064,0.2362133901248457
18,0.22052011247144437,0.22823437019351553
19,0.21849555589808628,0.22105023918071542
20,0.1912627600528116,0.21350273769243844
21,0.15721051419623935,0.16219585970760517
22,0.15696104268229896,0.15830394995340857
23,0.19011220491295577,0.19357442697485572
24,0.2229400455314514,0.21492097989188938
25,0.21192555601523383,0.22619790371844187
26,0.2148026292945737,0.20308976135339077
27,0.19040569208142558,0.19482241455603316
28,0.18349442078083994,0.1893678917333455
29,0.1637958407704285,0.1645700460661815
30,0.167427339912351,0.17352178726625553
31,0.17620643984411932,0.16645596008577274
32,0.2119242679361612,0.196871729391903
33,0.18998705028550456,0.1852677176027927
34,0.14714781214948708,0.1561443675709554
35,0.14325315591095986,0.15712493891361798
36,0.19806329685996485,0.20668070692190588
37,0.19269996617150445,0.19909469143281228
38,0.1922745623096309,0.19671161311754445
39,0.1911635526966632,0.19086168223153707
40,0.18329966983698762,0.19727977210745093
41,0.18978019363742815,0.19245143734138156
42,0.2034562268824307,0.20972643825965023
43,0.18757781574492316,0.19897927608079508
44,0.18194497865123266,0.19317875867082113
45,0.18674333385557143,0.20331855463319493
46,0.18893566350136876,0.21334886451138724
47,0.19868784619205743,0.21320222888698567
48,0.20277506251665026,0.20328738120766138
49,0.20529772812152985,0.20770903986666903
50,0.21781041951352348,0.21002048490411127
51,0.1819732345745305,0.19162997711216337
52,0.20517178501780117,0.22125890733338022
53,0.22534786544694504,0.23254156427362901
54,0.2251310512242327,0.23175768525548832
55,0.22916597114474804,0.23277811388464523
56,0.2120314275890088,0.21149147779713842
57,0.18342367128361825,0.18358485956660345
58,0.19851295757510953,0.19954691212340556
59,0.18677663378013318,0.18634926197597582
60,0.20673598807872373,0.199154156497322
61,0.23158525386524895,0.22532208049788405
62,0.2431125113800622,0.24072172236025613
63,0.22249508392569314,0.21956239960863008
64,0.21408975787794374,0.20983662867118708
65,0.21932342449572426,0.23053044356420563
66,0.23264059291878672,0.23034762511600312
67,0.23401595946931228,0.24242118679884836
68,0.23106420619122212,0.23803657919997365
69,0.2132864128888535,0.22902834470518527
70,0.2152981936992689,0.2221550978382437
71,0.22386687718882076,0.22322401502387548
72,0.21739334237875976,0.20884266840359753
